,Open,High,Low,Close,Adj Close,Volume,Date,stock_name
34,52.439999,53.68,50.59,51.330002,51.203846,3050600.0,2022-03-09,CEG
35,50.57,51.639999,49.27,51.32,51.193867,2692700.0,2022-03-10,CEG
36,51.419998,51.84,48.290001,49.32,49.198784,3034100.0,2022-03-11,CEG
37,51.860001,51.860001,48.59,50.950001,50.82478,2916600.0,2022-03-14,CEG
38,51.34,51.59,49.900002,51.290001,51.163944,2117400.0,2022-03-15,CEG
39,51.709999,52.400002,50.349998,51.77,51.642765,2989800.0,2022-03-16,CEG
40,51.880001,52.709999,50.91,50.990002,50.864681,2244600.0,2022-03-17,CEG
41,50.650002,51.41,48.880001,49.009998,48.889545,9663900.0,2022-03-18,CEG
42,48.91,49.43,48.599998,49.220001,49.09903,2452000.0,2022-03-21,CEG
43,50.349998,52.049999,50.009998,51.139999,51.014309,3841900.0,2022-03-22,CEG
44,50.700001,51.77,50.700001,50.990002,50.864681,2396200.0,2022-03-23,CEG
45,51.18,52.580002,50.766998,52.41,52.281189,2335200.0,2022-03-24,CEG
46,52.240002,53.82,52.029999,53.799999,53.667774,2441200.0,2022-03-25,CEG
47,54.380001,56.849998,54.049999,56.779999,56.64045,3127000.0,2022-03-28,CEG
48,57.0,57.389999,54.630001,56.330002,56.191559,2201300.0,2022-03-29,CEG
49,56.169998,57.790001,55.700001,57.5,57.358681,1934100.0,2022-03-30,CEG
50,58.34,59.080002,55.779999,56.25,56.111752,3817600.0,2022-03-31,CEG
51,56.360001,58.299999,55.700001,58.02,57.877403,2156500.0,2022-04-01,CEG
52,58.360001,58.700001,57.529999,58.380001,58.236519,1885100.0,2022-04-04,CEG
53,58.650002,60.32,58.450001,59.0,58.854992,2143100.0,2022-04-05,CEG
54,58.900002,60.080002,58.369999,59.599998,59.453518,2559400.0,2022-04-06,CEG
55,59.759998,61.07,59.349998,60.91,60.7603,3925800.0,2022-04-07,CEG
56,61.220001,64.900002,60.900002,64.019997,63.862652,4762100.0,2022-04-08,CEG
57,64.18,64.662003,60.41,60.68,60.530865,3487700.0,2022-04-11,CEG
58,61.0,63.209999,60.880001,61.869999,61.717937,2553000.0,2022-04-12,CEG
59,62.040001,64.550003,61.75,64.199997,64.042213,3405700.0,2022-04-13,CEG
